,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
22,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",149,False,Xenova/paraphrase-multilingual-MiniLM-L12-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:21:35.000Z,8,feature-extraction,False,model,False,470MB | 235MB | 118MB,123731968.0,492830720.0,23,16-07-2024
23,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",14,False,Xenova/paraphrase-MiniLM-L6-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:21:47.000Z,0,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB,24117248.0,94791270.4,24,16-07-2024
24,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",267,False,Xenova/all-mpnet-base-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:17:18.000Z,1,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,25,16-07-2024
25,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/all-roberta-large-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-15T03:18:56.000Z,0,feature-extraction,False,model,False,1.42GB | 709MB | 357MB,374341632.0,1524713390.08,26,16-07-2024
26,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/bert-base-nli-mean-tokens,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T01:22:17.000Z,0,feature-extraction,False,model,False,436MB | 218MB | 110MB,115343360.0,457179136.0,27,16-07-2024
27,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",4,False,Xenova/distilbert-base-nli-mean-tokens,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:34.000Z,0,feature-extraction,False,model,False,266MB | 133MB | 66.9MB,70149734.4,278921216.0,28,16-07-2024
28,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",5,False,Xenova/distilbert-base-nli-stsb-mean-tokens,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:42.000Z,0,feature-extraction,False,model,False,266MB | 133MB | 66.9MB,70149734.4,278921216.0,29,16-07-2024
29,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",44,False,Xenova/distiluse-base-multilingual-cased-v1,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:03:59.000Z,0,feature-extraction,False,model,False,539MB | 270MB | 135MB,141557760.0,565182464.0,30,16-07-2024
30,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",14052,False,Xenova/distiluse-base-multilingual-cased-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:04:16.000Z,2,feature-extraction,False,model,False,539MB | 270MB | 135MB,141557760.0,565182464.0,31,16-07-2024
31,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",7,False,Xenova/msmarco-distilbert-base-v4,NotSupported_PipelineLibraryPairNotSupported,2024-03-21T12:04:25.000Z,0,feature-extraction,False,model,False,266MB | 133MB | 66.9MB,70149734.4,278921216.0,32,16-07-2024
